Date;Open;High;Low;Close;Volume
18.07.2016;425.0;431.75;406.5;425.25;344750
25.07.2016;425.75;435.25;403.5;407.75;318202
01.08.2016;410.75;418.5;399.25;416.0;363629
08.08.2016;418.5;427.5;406.0;422.5;486344
15.08.2016;421.25;432.5;414.5;427.0;273128
22.08.2016;427.0;429.25;381.0;383.5;156943
29.08.2016;383.5;384.0;359.5;373.25;59950
05.09.2016;371.0;377.0;369.75;376.0;173
12.09.2016;382.0;406.75;374.75;403.25;149961
19.09.2016;404.0;411.75;399.75;404.75;211770
26.09.2016;401.75;407.25;390.0;402.0;295486
03.10.2016;399.75;409.5;391.5;394.75;341904
10.10.2016;396.0;428.25;395.75;421.0;447095
